Año,Mes,Distrito,Dependencia,Tipo,Cantidad
2024,Julio,Orán,Policiales,Violencia no penal,55
2024,Julio,Orán,Policiales,Penal,829
2024,Julio,Metán,Judiciales,Penal por violencia de género,13
2024,Julio,Metán,Judiciales,Penal por violencia familiar,0
2024,Julio,Metán,Judiciales,Violencia no penal,3
2024,Julio,Metán,Judiciales,Penal,18
2024,Julio,Metán,Policiales,Penal por violencia de género,111
2024,Julio,Metán,Policiales,Penal por violencia familiar,8
2024,Julio,Metán,Policiales,Violencia no penal,39
2024,Julio,Metán,Policiales,Penal,642
2024,Julio,Anta,Judiciales,Penal por violencia de género,3
2024,Julio,Anta,Judiciales,Penal por violencia familiar,0
2024,Julio,Anta,Judiciales,Violencia no penal,2
2024,Julio,Anta,Judiciales,Penal,3
2024,Julio,Anta,Policiales,Penal por violencia de género,31
2024,Julio,Anta,Policiales,Penal por violencia familiar,1
2024,Julio,Anta,Policiales,Violencia no penal,7
2024,Julio,Anta,Policiales,Penal,104
2024,Julio,Tartagal,Judiciales,Penal por violencia de género,9
2024,Julio,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Julio,Tartagal,Judiciales,Violencia no penal,18
2024,Julio,Tartagal,Judiciales,Penal,11
2024,Julio,Tartagal,Policiales,Penal por violencia de género,213
2024,Julio,Tartagal,Policiales,Penal por violencia familiar,10
2024,Julio,Tartagal,Policiales,Violencia no penal,126
2024,Julio,Tartagal,Policiales,Penal,986
2024,Agosto,Centro,Judiciales,Penal por violencia de género,196
2024,Agosto,Centro,Judiciales,Penal por violencia familiar,87
2024,Agosto,Centro,Judiciales,Violencia no penal,66
2024,Agosto,Centro,Judiciales,Penal,618
2024,Agosto,Centro,Policiales,Penal por violencia de género,875
2024,Agosto,Centro,Policiales,Penal por violencia familiar,350
2024,Agosto,Centro,Policiales,Violencia no penal,441
2024,Agosto,Centro,Policiales,Penal,5860
2024,Agosto,Cafayate,Judiciales,Penal por violencia de género,2
2024,Agosto,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Agosto,Cafayate,Judiciales,Violencia no penal,0
2024,Agosto,Cafayate,Judiciales,Penal,10
2024,Agosto,Cafayate,Policiales,Penal por violencia de género,39
2024,Agosto,Cafayate,Policiales,Penal por violencia familiar,3
2024,Agosto,Cafayate,Policiales,Violencia no penal,10
2024,Agosto,Cafayate,Policiales,Penal,128
2024,Agosto,Orán,Judiciales,Penal por violencia de género,22
2024,Agosto,Orán,Judiciales,Penal por violencia familiar,1
2024,Agosto,Orán,Judiciales,Violencia no penal,5
2024,Agosto,Orán,Judiciales,Penal,11
2024,Agosto,Orán,Policiales,Penal por violencia de género,190
2024,Agosto,Orán,Policiales,Penal por violencia familiar,33
2024,Agosto,Orán,Policiales,Violencia no penal,91
2024,Agosto,Orán,Policiales,Penal,885
2024,Agosto,Metán,Judiciales,Penal por violencia de género,16
2024,Agosto,Metán,Judiciales,Penal por violencia familiar,0
2024,Agosto,Metán,Judiciales,Violencia no penal,8
2024,Agosto,Metán,Judiciales,Penal,19
2024,Agosto,Metán,Policiales,Penal por violencia de género,135
2024,Agosto,Metán,Policiales,Penal por violencia familiar,3
2024,Agosto,Metán,Policiales,Violencia no penal,45
2024,Agosto,Metán,Policiales,Penal,670
2024,Agosto,Anta,Judiciales,Penal por violencia de género,0
2024,Agosto,Anta,Judiciales,Penal por violencia familiar,0
2024,Agosto,Anta,Judiciales,Violencia no penal,6
2024,Agosto,Anta,Judiciales,Penal,8
2024,Agosto,Anta,Policiales,Penal por violencia de género,38
2024,Agosto,Anta,Policiales,Penal por violencia familiar,0
2024,Agosto,Anta,Policiales,Violencia no penal,17
2024,Agosto,Anta,Policiales,Penal,119
2024,Agosto,Tartagal,Judiciales,Penal por violencia de género,16
2024,Agosto,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Agosto,Tartagal,Judiciales,Violencia no penal,25
2024,Agosto,Tartagal,Judiciales,Penal,18
2024,Agosto,Tartagal,Policiales,Penal por violencia de género,216
2024,Agosto,Tartagal,Policiales,Penal por violencia familiar,7
2024,Agosto,Tartagal,Policiales,Violencia no penal,128
2024,Agosto,Tartagal,Policiales,Penal,991
2024,Septiembre,Centro,Judiciales,Penal por violencia de género,195
2024,Septiembre,Centro,Judiciales,Penal por violencia familiar,100
2024,Septiembre,Centro,Judiciales,Violencia no penal,78
2024,Septiembre,Centro,Judiciales,Penal,636
2024,Septiembre,Centro,Policiales,Penal por violencia de género,1116
2024,Septiembre,Centro,Policiales,Penal por violencia familiar,390
2024,Septiembre,Centro,Policiales,Violencia no penal,530
2024,Septiembre,Centro,Policiales,Penal,5499
2024,Septiembre,Cafayate,Judiciales,Penal por violencia de género,0
