Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2023,Norte-Tartagal,Mujeres,18-21 años,77,2
2023,Norte-Tartagal,Mujeres,22-29 años,254,3
2023,Norte-Tartagal,Mujeres,30-39 años,237,4
2023,Norte-Tartagal,Mujeres,40-49 años,79,5
2023,Norte-Tartagal,Mujeres,50-59 años,41,6
2023,Norte-Tartagal,Mujeres,60-74 años,23,7
2023,Norte-Tartagal,Mujeres,Sin especificar,926,9
2023,Norte-Tartagal,Varones,Más de 74 años,12,8
2023,Norte-Tartagal,Varones,0-17 años,30,1
2023,Norte-Tartagal,Varones,18-21 años,214,2
2023,Norte-Tartagal,Varones,22-29 años,567,3
2023,Norte-Tartagal,Varones,30-39 años,594,4
2023,Norte-Tartagal,Varones,40-49 años,339,5
2023,Norte-Tartagal,Varones,50-59 años,162,6
2023,Norte-Tartagal,Varones,60-74 años,68,7
2023,Norte-Tartagal,Varones,Sin especificar,1618,9
2024,Centro,Mujeres,0-17 años,56,1
2024,Centro,Mujeres,18-21 años,230,2
2024,Centro,Mujeres,22-29 años,1403,3
2024,Centro,Mujeres,30-39 años,1575,4
2024,Centro,Mujeres,40-49 años,873,5
2024,Centro,Mujeres,50-59 años,352,6
2024,Centro,Mujeres,60-74 años,219,7
2024,Centro,Mujeres,Más de 74 años,48,8
2024,Centro,Mujeres,Sin especificar,3563,9
2024,Centro,Varones,0-17 años,111,1
2024,Centro,Varones,18-21 años,609,2
2024,Centro,Varones,22-29 años,2605,3
2024,Centro,Varones,30-39 años,3226,4
2024,Centro,Varones,40-49 años,1885,5
2024,Centro,Varones,50-59 años,794,6
2024,Centro,Varones,60-74 años,473,7
2024,Centro,Varones,Más de 74 años,159,8
2024,Centro,Varones,Sin especificar,5487,9
2024,Norte-Orán,Mujeres,0-17 años,12,1
2024,Norte-Orán,Mujeres,18-21 años,40,2
2024,Norte-Orán,Mujeres,22-29 años,176,3
2024,Norte-Orán,Mujeres,30-39 años,242,4
2024,Norte-Orán,Mujeres,40-49 años,116,5
2024,Norte-Orán,Mujeres,50-59 años,42,6
2024,Norte-Orán,Mujeres,60-74 años,18,7
2024,Norte-Orán,Mujeres,Más de 74 años,10,8
2024,Norte-Orán,Mujeres,Sin especificar,636,9
2024,Norte-Orán,Varones,0-17 años,27,1
2024,Norte-Orán,Varones,18-21 años,107,2
2024,Norte-Orán,Varones,22-29 años,474,3
2024,Norte-Orán,Varones,30-39 años,538,4
2024,Norte-Orán,Varones,40-49 años,261,5
2024,Norte-Orán,Varones,50-59 años,87,6
2024,Norte-Orán,Varones,60-74 años,45,7
2024,Norte-Orán,Varones,Más de 74 años,17,8
2024,Norte-Orán,Varones,Sin especificar,1299,9
2024,Norte-Tartagal,Mujeres,0-17 años,8,1
2024,Norte-Tartagal,Mujeres,18-21 años,57,2
2024,Norte-Tartagal,Mujeres,22-29 años,168,3
2024,Norte-Tartagal,Mujeres,30-39 años,207,4
2024,Norte-Tartagal,Mujeres,40-49 años,110,5
