Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
No,10/3/2023 12:27:28,10/10/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Los Toldos,Constantementes,"Administrativos/Preceptores, Personal de maestranza",Sí,No,"Apodos, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",Sí,"Denunciar Ante Organismos Competentes (Inadi; Observatorio De La Violencia; Policía; Etc.), Avisar De Estas Situaciones En La Casa, Faltar A Clases Por Miedo, Pedir Un Consejo/Ayuda A Algún Compañero/A, Defenderte Violentamente (Con Insultos; Golpes; Etc.)",Sí,Sí,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Patio, Baños O Vestuarios",Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/3/2023 14:35:26,12/14/2006,17,No binario,No,Sí,Gay,Secundaria,Secundario estatal,Urundel,Constantementes,Estudiantes,No,No,"Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",Sí,"Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo",No,Sí,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Patio",Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 13:20:45,4/2/2007,17,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Chicoana,A veces,Estudiantes,No,,"Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., No Experimenté Violencia/Agresiones",No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,Sí,"Uniforme/Vestimenta, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",,No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 13:32:07,11/25/2006,17,Agénero,No,No,Asexual,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Estudiantes",Sí,No,Burlas/Chistes,No,,No,,No,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 14:27:14,7/1/2007,17,No binario,No,No,Heterosexual,Secundaria,Secundario estatal,Tartagal,A veces,Estudiantes,No,Sí,"Apodos, Burlas/Chistes",No,Avisar De Estas Situaciones En El Establecimiento Educativo,No,No,Sí,No,,"Pasillos, Patio",Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Intersexualidad, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual, Nuevas Masculinidades",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/25/2024 14:57:30,12/7/2006,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Chicoana,A veces,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,,No,,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",,Sí,Ninguno De Los Temas Anteriores,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información",No,
No,7/25/2024 15:13:52,8/31/2007,17,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,San Antonio de los Cobres,A veces,Estudiantes,No,,"Insultos, Exclusión De Grupos Y Actividades Escolares",No,Avisar De Estas Situaciones En El Establecimiento Educativo,No,No,Sí,No,,Patio,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual",Prácticas Deportivas Inclusivas,Sí,Sí,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Charlas Informativas, Charlas Preventivas, Otras"
No,7/25/2024 15:27:31,11/3/2006,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Orientación Sexual, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",No,
No,7/25/2024 15:39:24,4/16/2007,17,No binario,No,No,Antrosexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,Sí,Sí,No Respeto Hacía Mi,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas",En El Aula,No,,Prácticas Deportivas Inclusivas,No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Suspensión Del Estudiante ",No,
No,7/25/2024 15:53:41,3/14/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Nunca,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,Sí,No,,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,7/25/2024 15:55:32,11/28/2006,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Cachi,Constantementes,Estudiantes,No,Sí,"Insultos, No Experimenté Violencia/Agresiones",No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,No,,No Atravesé Situaciones De Violencia,Sí,,Orientación Vocacional Para Personas Trans/No Binaries,No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información",No,
No,7/25/2024 15:55:34,1/16/2007,17,Género fluido,No,No,Pansexual,Secundaria,Secundario estatal,Salta,Constantementes,"Docentes, Estudiantes",Sí,No,Burlas/Chistes,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",Sí,No,No,Sí,"Uniforme/Vestimenta, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva","Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Uso De Sanitarios",No,Sí,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 16:13:59,5/3/2007,17,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,A veces,"Directivos, Estudiantes",No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,Sí,,No Atravesé Situaciones De Violencia,No,,Salud Integral De La Diversidad Sexual/Afectiva,No,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,7/25/2024 21:53:32,3/24/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,No,,No Atravesé Situaciones De Violencia,Sí,"Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/26/2024 16:28:55,4/6/2007,17,Mujer cis,Sí,No,Pansexual,Secundaria,Secundario estatal,Salta,Constantementes,"Docentes, Estudiantes",Sí,,"Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Amenazas, Golpes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",Sí,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Avisar De Estas Situaciones En La Casa, Avisar De Estas Situaciones En El Establecimiento Educativo, Defenderte Violentamente (Con Insultos; Golpes; Etc.), No Reaccionaste Ante Estas Situaciones",No,Sí,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer, El Uso De Aretes En Hombres Está Prohibido Para Hombres, Pero Parq Mujeres No, Me Parece Un Acto Discriminativo ","En El Aula, Baños O Vestuarios",Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información",No,
No,7/26/2024 18:02:41,7/22/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario privado,Cachi,A veces,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,No,,"En El Aula, No Atravesé Situaciones De Violencia",Sí,Identidad De Género,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/26/2024 18:04:16,7/22/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario privado,Cachi,A veces,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,No,,"En El Aula, No Atravesé Situaciones De Violencia",Sí,Identidad De Género,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/29/2024 13:56:02,7/1/2007,17,Mujer cis,Sí,No,Bisexual,Primaria,Secundario estatal,Rosario de Lerma,A veces,"Personal de Maestranza, Estudiantes",Sí,,No Experimenté Violencia/Agresiones,No,"Denunciar Estas Situaciones Ante Las Autoridades Del Establecimiento, Avisar De Estas Situaciones En La Casa, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,,Sí,No,,,Sí,"Orientación Sexual, Ninguno De Los Temas Anteriores",Lenguaje Inclusivo,No,Sí,Organizar Campañas De Sensibilización E Información,No,
No,7/29/2024 14:04:45,7/10/2007,17,Mujer cis,Sí,No,Bisexual,Primaria,Secundario estatal,Rosario de Lerma,A veces,"Administrativos/preceptores, Estudiantes",No,,No Experimenté Violencia/Agresiones,No,,No,,,No,,,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",Sí,Sí,"Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/30/2024 15:21:50,11/9/2006,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Rosario de Lerma,A veces,Docentes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,No,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares",Sí,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información",No,
No,8/15/2024 16:59:18,2/21/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,San José de Metán,Constantementes,"Docentes, Estudiantes",No,No,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,Sí,"Uniforme/Vestimenta, Organización En La Formación/Filas",No Atravesé Situaciones De Violencia,No,,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
No,8/26/2024 17:22:55,2/9/2007,17,Género fluido,No,No,Bisexual,Secundaria,Secundario estatal,Rosario de Lerma,A veces,"Docentes, Estudiantes",No,,Burlas/Chistes,No,No Reaccionaste Ante Estas Situaciones,No,No,Sí,Sí,"Uniforme/Vestimenta, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas",En El Aula,No,,"Salud Integral De La Diversidad Sexual/Afectiva, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
Sí,3/5/2024 8:34:55,9/24/2001,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,TERCIARIO ESTATAL,SALTA,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,NINGUNO DE LOS TEMAS ANTERIORES,,SI,SI,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"TALLERES, CAPACITACIONES, CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS, ACTIVIDADES CULTURALES, ACTIVIDADES ARTISTICAS"
No,8/28/2024 15:48:40,7/30/2007,17,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,San José de Metán,A veces,"Docentes, Estudiantes",Sí,,"Burlas/Chistes, Otras Situaciones De Violencia Y Discriminación",No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia, No Reaccionaste Ante Estas Situaciones",No,No,No,No,,"En El Aula, Pasillos",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/3/2023 13:40:50,9/22/2006,18,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,General Güemes,A veces,Estudiantes,Sí,,"Apodos, Burlas/Chistes, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc.",No,No Reaccionaste Ante Estas Situaciones,No,No,Sí,Sí,Uniforme/Vestimenta,En El Aula,No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas",No,No,"Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/3/2023 15:08:38,3/31/2006,18,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,No,Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer,No Atravesé Situaciones De Violencia,Sí,Ninguno De Los Temas Anteriores,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,Charlas Informativas
No,10/4/2023 14:31:21,4/1/2006,18,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Isla de Cañas,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,,No,,No Atravesé Situaciones De Violencia,Sí,Convivencia ,Orientación Vocacional Para Personas Trans/No Binaries,No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/4/2023 16:25:56,4/11/2006,18,Varón trans,No,Sí,Asexual,Secundaria,Secundario estatal,Salta,A veces,"Coordinadores, Estudiantes",Sí,Sí,"Apodos, Burlas/Chistes, Exclusión De Grupos Y Actividades Escolares, Amenazas, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,No Reaccionaste Ante Estas Situaciones,No,Sí,Sí,Sí,"Prácticas Deportivas Separadas Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Baños O Vestuarios",Sí,"Identidad De Género, Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,Otras
No,10/12/2023 20:49:39,1/29/2006,18,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,"Administrativos/preceptores, Estudiantes",No,No,"Burlas/Chistes, Otras Situaciones De Violencia Y Discriminación",No,"Avisar De Estas Situaciones En La Casa, Pedir Un Consejo/Ayuda A Algún Compañero/A, No Reaccionaste Ante Estas Situaciones",No,No,No,No,,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares",No,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
